Date,Open,High,Low,Close,Adj Close,Volume
2021-12-14,115.739998,116.919998,115.470001,116.220001,112.179108,12245300
2021-12-15,116.320000,116.320000,113.949997,115.559998,111.542046,11069500
2021-12-16,116.190002,118.190002,115.919998,116.639999,112.584496,11344700
2021-12-17,115.919998,116.459999,113.529999,113.599998,109.650200,22727900
2021-12-20,111.860001,113.709999,110.730003,113.650002,109.698471,13464400
2021-12-21,114.430000,116.070000,114.290001,115.470001,111.455185,11368200
2021-12-22,115.419998,116.680000,114.410004,116.129997,112.092232,8345200
2021-12-23,116.510002,117.919998,116.400002,116.410004,112.362503,7416600
2021-12-27,116.070000,118.820000,115.410004,118.790001,114.659744,7745500
2021-12-28,118.660004,119.339996,118.040001,118.559998,114.437737,6516000
2021-12-29,118.080002,118.650002,117.290001,117.949997,113.848953,6957400
2021-12-30,118.129997,118.690002,117.339996,117.430000,113.347031,6016000
2021-12-31,117.379997,118.089996,117.129997,117.349998,113.269806,5706600
2022-01-03,117.419998,119.690002,117.290001,119.260002,115.113403,10717700
2022-01-04,119.949997,121.980003,119.660004,121.430000,117.207954,16413100
2022-01-05,122.239998,123.839996,122.070000,122.220001,117.970490,15487100
2022-01-06,123.620003,124.320000,121.639999,123.260002,118.974327,13318500
2022-01-07,123.550003,125.540001,122.949997,125.029999,120.682785,14164600
2022-01-10,125.150002,125.690002,123.860001,125.110001,120.760010,12626100
2022-01-11,125.860001,128.000000,124.830002,127.970001,123.520569,14609000
2022-01-12,127.989998,128.429993,126.470001,127.330002,122.902817,12469200
2022-01-13,127.139999,128.100006,126.449997,126.800003,122.391243,9691300
2022-01-14,126.760002,129.199997,126.760002,128.960007,124.476151,13281000
2022-01-18,129.690002,130.000000,127.870003,129.380005,124.881538,12905500
2022-01-19,129.949997,130.149994,128.539993,128.910004,124.427887,12064300
2022-01-20,128.270004,130.860001,127.879997,128.449997,123.983864,11370400
2022-01-21,127.760002,128.399994,126.230003,126.910004,122.497429,13055700
2022-01-24,124.449997,127.730003,122.839996,127.180000,122.758034,19513700
2022-01-25,127.120003,132.740005,125.269997,132.589996,127.979919,19984500
2022-01-26,132.899994,134.710007,131.589996,132.690002,128.076462,17266500
2022-01-27,134.449997,137.000000,133.589996,135.369995,130.663269,20654100
2022-01-28,130.000000,132.059998,128.070007,130.610001,126.068771,24817800
2022-01-31,130.190002,131.860001,129.330002,131.330002,126.763733,16401800
2022-02-01,130.830002,135.740005,130.509995,134.789993,130.103439,16169700
2022-02-02,134.350006,135.800003,132.800003,135.410004,130.701874,10906700
2022-02-03,134.850006,135.350006,133.190002,134.199997,129.533951,9447700
2022-02-04,135.009995,137.000000,135.009995,135.880005,131.155533,13034700
2022-02-07,135.339996,139.429993,134.830002,138.550003,133.732697,18422500
2022-02-08,138.179993,138.429993,135.009995,136.440002,131.696075,11021600
2022-02-09,136.720001,138.339996,136.100006,137.789993,132.999115,10140800
2022-02-10,137.559998,138.789993,135.389999,136.039993,131.309967,11012700
2022-02-11,136.860001,139.440002,136.279999,138.809998,133.983658,12821200
2022-02-14,137.940002,138.050003,135.050003,136.669998,131.918076,15945000
2022-02-15,133.080002,134.839996,132.179993,134.259995,130.952454,11746800
2022-02-16,134.949997,136.160004,133.759995,134.300003,130.991470,11348800
2022-02-17,134.169998,134.580002,132.449997,133.610001,130.318481,10073900
