Date,Open,High,Low,Close,Adj Close,Volume
2021-12-14,50.369999,51.150002,50.180000,50.650002,48.021313,31555900
2021-12-15,50.830002,51.040001,50.480000,50.549999,47.926498,24115700
2021-12-16,50.660000,52.919998,50.549999,52.750000,50.012329,40091300
2021-12-17,53.049999,53.220001,52.360001,53.169998,50.410526,54501100
2021-12-20,52.730000,53.340000,52.689999,53.090000,50.334679,23418000
2021-12-21,53.259998,53.330002,52.650002,52.779999,50.040768,23905300
2021-12-22,52.580002,52.900002,52.060001,52.770000,50.031284,16486500
2021-12-23,52.849998,53.090000,52.669998,52.680000,49.945953,14921400
2021-12-27,52.689999,52.820000,52.450001,52.680000,49.945953,19705800
2021-12-28,52.630001,53.090000,52.610001,52.720001,49.983883,12126500
2021-12-29,52.770000,52.880001,52.340000,52.360001,49.642567,15109500
2021-12-30,52.380001,52.570000,52.080002,52.250000,49.538273,15615500
2021-12-31,52.200001,52.310001,51.880001,51.959999,49.263325,15911400
2022-01-03,52.070000,52.560001,51.980000,52.439999,49.718414,18240100
2022-01-04,52.639999,53.709999,52.549999,53.470001,50.694958,26376800
2022-01-05,53.840000,54.639999,53.509998,54.020000,51.216412,28697300
2022-01-06,54.480000,54.549999,53.660000,53.759998,50.969906,21563800
2022-01-07,53.259998,54.360001,53.259998,54.240002,52.044575,26512500
2022-01-10,54.490002,54.830002,53.810001,53.869999,51.689552,24929400
2022-01-11,53.919998,54.080002,53.160000,53.590000,51.420883,18598500
2022-01-12,53.389999,53.660000,53.090000,53.450001,51.286549,12778300
2022-01-13,53.520000,54.029999,53.180000,53.520000,51.353718,18178200
2022-01-14,53.590000,53.700001,53.080002,53.279999,51.123428,18695800
2022-01-18,53.099998,53.570000,52.580002,53.430000,51.267357,21570300
2022-01-19,53.470001,53.680000,52.869999,53.500000,51.334526,18374200
2022-01-20,53.490002,53.939999,53.080002,53.400002,51.238575,24297100
2022-01-21,53.730000,53.900002,53.070000,53.160000,51.008289,25294800
2022-01-24,53.110001,53.709999,52.200001,52.959999,50.816383,32500600
2022-01-25,53.130001,53.849998,52.259998,52.900002,50.758816,32075900
2022-01-26,52.619999,52.860001,50.810001,51.020000,48.954906,41504700
2022-01-27,50.910000,52.070000,50.810001,51.189999,49.118023,35339600
2022-01-28,51.439999,52.930000,51.189999,52.900002,50.758816,29490800
2022-01-31,52.520000,53.320000,52.209999,53.230000,51.075455,25182400
2022-02-01,53.400002,53.599998,52.209999,53.200001,51.046669,33045600
2022-02-02,53.560001,54.279999,53.299999,53.799999,51.622383,24160200
2022-02-03,54.000000,54.570000,53.700001,53.790001,51.612789,21219800
